"Plot_Nr" "Block" "Species_richness" "Functional_composition" "Nitrogen" "Fungicide" "Combination" "CWM_SLA" "MPD_SLA_abundance" "MPD_SLA_presence" "Aboveground_biomass" "Herbivory" "Pathogens" "Soil_respiration" "Plant_N_uptake" "Plant_P_uptake" "Belowground_biomass" "BGlucosidase" "Phosphatase" "Carbon_storage"
"1" 1 1 4 "M" 1 1 "41M" 23.6442874490138 0.122537885977009 0.122414008251408 42.0924559828591 1.34628442844284 51.2537698214266 4.6136373156 0.0479818050665376 0.0584637037839008 306.7559153 3.78006494 3.259596248 0.237666666666666
"2" 11 1 8 "S" 0 1 "83S" 16.6506752190269 0.0866896360011822 0.118277474014078 13.7792772467043 0.511684801628568 53.3814697049991 5.8575133447 0.135312826832789 0.0359968188857729 175.3188776 1.812129636 3.0182052742 -0.425336425
"3" 13 1 4 "F" 0 1 "41F" 22.8878394285109 0.145417112982363 0.105200185484333 11.7853689726371 0.583967797584819 62.341064468724 5.788826232 0.118627329249995 0.0239329876346231 190.23612 3.8961425814 3.1938053806 -0.172
"4" 15 1 4 "S" 0 0 "42S" 19.3780084898366 0.0536038668892877 0.0622698615470461 24.1545192902403 1.23019230769231 41.9245206745207 5.4326590396 0.0496052905615419 0.0362625407953584 541.824722 3.79374067575 3.7165558654 -0.0538885279999999
"5" 16 1 1 "S" 1 1 "Dc" 15.3631063826667 0 0 4.0222532336085 0.24 33.3333333333333 5.0758201406 0.0887585919204016 0.0553991043811458 127.7411247 3.1810370066 3.491216544 -0.423416915
"6" 17 1 1 "F" 1 0 "Ra" 33.6995061315556 0 0 3.31676443081878 1.90736842105263 58.3333333333333 4.0387381838 0.0907220208600747 0.0699860027994401 108.2208974 3.056559184 3.8960708454 -0.593
"7" 18 1 8 "M" 0 0 "83M" 20.5635360165526 0.0893160124848728 0.163740540976471 28.9891218247115 1.00442773165779 55.0385927425401 6.6747121586 0.0705444399770434 0.0462880541214171 581.8331685 2.3236497064 3.3678424924 -0.191028458
"8" 20 1 1 "F" 1 1 "Pt" 36.776782490056 0 0 8.84506287793953 0.68 40 6.3938168097 0.0581660875415871 0.0462419997989478 166.8397145 3.0120705695 4.2567913702 -0.345426147
"9" 21 1 20 "M" 0 0 "20sp" 17.2389794409159 0.164044807009979 0.171568193127 36.210427497888 0.419009754467482 43.7364721468015 5.7198568425 0.145256939602658 0.025566592985166 135.9824781 2.86535901525 3.570586205 NA
"10" 24 1 4 "F" 1 0 "49F" 21.4268475655624 0.110571075462173 0.181503131487708 23.0693153997345 0.962336677814939 92.5573265661366 5.9763126662 0.0743185705579667 0.0232974164829222 505.2171095 2.948560197 3.8794070696 -0.275102975
"11" 25 1 4 "S" 1 0 "48S" 18.5508505773213 0.105498571288608 0.104854344323653 46.229642905762 0.835304761904762 44.6150239940938 5.078864549 0.0867031479355693 0.0179940541386325 505.0600886 2.19393264833333 3.6009277718 -0.633333333
"12" 26 1 1 "F" 1 1 "Hl" 23.2742941973333 0 0 14.8117752422973 0.56 86.6666666666667 5.4393964697 0.0462857556468243 0.0139155416400139 237.6489028 3.074026797 4.5494373614 -0.449283754
"13" 30 1 1 "S" 1 0 "Am" 15.0900287726667 0 0 57.6507091158059 0.26 43.3333333333333 6.713463187 0.214689773226744 0.0373657169546941 139.7044954 3.2996640664 4.9810881262 -0.753663354
"14" 31 1 1 "F" 0 1 "As" 15.2844531862 0 0 1.73868693208991 0.18 58.3333333333333 4.5072175543 0.130673674812001 0.052432068586814 98.06472081 1.5868981616 3.5471181422 -0.390449496
"15" 32 1 1 "F" 1 0 "Lp" 20.9258567613333 0 0 25.9652406749212 0.78 100 6.20360137795 0.0384354489801414 0.0307981863290273 292.4468423 2.3723328908 4.64953922575 0.290221307
"16" 33 1 4 "M" 0 1 "45M" 19.3796281925253 0.225643087217961 0.322366496066105 67.0844411009055 1.20926843317972 34.8491728951597 4.5352541493 0.111822370724363 0.0294462104734817 198.5525893 2.19829161775 5.3905238322 -0.364
"17" 35 1 8 "M" 0 0 "810M" 20.9489241324819 0.113736724283408 0.163172881257114 14.2871156162293 0.688879800611759 74.8881311128734 4.6186695335 0.101787943739135 0.00886426592797784 136.7419355 3.4857202752 4.6229100662 -0.28508666
"18" 36 1 8 "F" 0 1 "83F" 21.665544563369 0.0490130861786726 0.172941061058341 21.080639446666 0.710869540715695 66.8697725788358 5.8415999525 0.255505746367199 0.0146675571969251 229.9389656 2.1149692704 4.233794708 -0.47718992
"19" 39 1 4 "M" 0 1 "49M" 17.3792013843302 0.120776050371159 0.114649726022589 17.2670510093853 0.365574912891986 61.7780962371836 7.4312766471 0.0834963662781397 0.0122136448334717 1515.631006 3.14970696375 4.48460406 -0.567287302
"20" 4 1 1 "F" 1 0 "Dg" 24.3210558706667 0 0 11.4199378800257 0.98 65 3.4666895858 0.0356071490089901 0.0753682768071257 98.87359199 2.46240129 3.9618664444 -0.788943134
"21" 40 1 8 "F" 1 0 "87F" 24.7283774889729 0.145782987630685 0.22273865156845 30.8372393032547 1.01482945736434 89.0529964221825 4.1882877083 0.0848985531655943 0.0108104736858518 161.6451613 3.8707496494 4.2355036312 -0.123704961
"22" 41 1 8 "S" 1 1 "82S" 18.8992171915648 0.168104946346816 0.127852459207589 78.6656047766918 0.563310313698939 38.7870497681978 4.7822704207 0.183447757311721 0.0222348377329927 1406.28752 2.9703642374 3.63850956225 -0.2335
"23" 42 1 4 "S" 1 0 "45S" 19.4848023099269 0.176297007686289 0.123798664698982 57.0128541649849 0.863513972518141 59.3071931093063 5.2353165148 0.07690032089807 0.014581755979922 136.6111467 3.03448781625 4.3190429184 -0.205179385
"24" 43 1 20 "M" 1 0 "20sp" 19.1952731858068 0.150233588597683 0.14875577137095 37.0156128236551 0.524649522341345 56.5031956091311 5.3353595301 0.0636430341736686 0.0387409200968523 284.3187661 3.279649747 4.5567995242 -0.488895965
"25" 44 1 8 "M" 0 1 "87M" 15.8647502827968 0.106232822804637 0.174533761019974 22.3558080262225 0.497945428872581 42.9864954245192 4.732943726 0.191854835194506 0.0199630097172886 276.3991046 2.22923583475 3.27039965 -0.621622847
"26" 45 1 1 "S" 1 1 "Be" 16.914695442 0 0 15.1717732876336 1.08 78.3333333333333 4.0964779814 0.0509958787933586 0.0265453166477057 223.1944003 1.9862594172 4.1143729614 -0.236
"27" 46 1 4 "S" 0 0 "410S" 15.842275668095 0.127679762299655 0.170519142857224 25.9176705607897 0.190160660008684 54.0343229490378 3.0905802412 0.220309104815402 0.0180245133381399 401.1568123 2.727767208 3.9429059316 -0.25142321
"28" 47 1 1 "S" 0 1 "Pg" 15.7011770586667 0 0 10.1901452850975 0.36 63.3333333333333 4.1950521124 0.157543095643036 0.0181799818200182 245.4545455 2.17227715475 3.0617815844 -0.528582731
"29" 48 1 8 "F" 1 1 "82F" 22.3238016034961 0.0833611222326087 0.122248570886102 31.850994097704 0.85671702284451 72.8930080809226 4.8513660777 0.0783861601122049 0.0228672296551862 278.2650758 2.5599906766 3.9885026055 -0.30564022
"30" 49 1 8 "M" 0 1 "89M" 16.6751893422577 0.105710956368051 0.132367335797664 19.8822371476144 0.547621079358432 61.3553387315476 4.08624880015 0.115289808728066 0.0109964840189255 226.0291734 2.4322636976 4.3093903548 NA
"31" 50 1 8 "S" 1 1 "88S" 17.2374635244272 0.0807999788667639 0.0881138747812319 53.6905786213786 0.933908206001473 31.9150701272412 4.5681194472 0.0578508797034178 0.0141787134358721 1287.151015 3.090490079 5.2777145856 0.106211278
"32" 52 1 1 "F" 1 0 "To" 20.7620683233333 0 0 19.9003067577084 1.48 100 4.6706341633 0.0643402673167253 0.0162506327090604 120.2093909 3.3046047884 4.4404917668 -0.38478966
"33" 53 1 4 "F" 0 1 "46F" 27.1973475216507 0.171012018433853 0.144741349997617 26.1870140620086 0.891722488038277 79.6388479941112 3.9327195485 0.148336752967884 0.0141983575081883 191.9463087 3.209853477 4.7454941724 -0.135
"34" 54 1 8 "S" 0 0 "87S" 17.372625593384 0.129357260690247 0.119435540848707 53.7893985663739 0.736095469044595 53.1146395025561 5.3668592551 0.145650759070444 0.0108920327256074 193.9618986 2.0750392672 4.6767545956 0.314490489
"35" 56 1 1 "S" 0 0 "Cj" 20.7989534146667 0 0 64.4342558621206 1.1 86.6666666666667 6.598834258 0.172377441353028 0.016120365394949 203.9546191 2.3465685356 2.942852091 0.176270743
"36" 58 1 4 "F" 0 0 "43F" 26.2806489402896 0.234279340022359 0.268159180633123 26.9434989319796 0.855 87.5193423597679 6.3802289687 0.271758368198018 0.0204619168897886 212.0089428 2.2447645676 4.7986350186 -0.330490316
"37" 59 1 20 "M" 1 0 "20sp" 20.5872024255855 0.144702858258475 0.156820981151693 33.4662045858251 0.592391003781138 65.8361557424057 5.2300249782 0.0820702231256459 0.0208419270098348 235.6354462 2.6273492402 4.908013188 -0.268956589
"38" 6 1 1 "S" 0 0 "Pm" 14.4518345153333 0 0 15.2250592109897 1.32 4.33333333333333 4.6280165338 0.0886872360380542 0.0426485865820985 253.973827 2.3801572412 4.1281486688 -0.678772879
"39" 60 1 1 "F" 0 1 "Cb" 21.6125769906667 0 0 29.0353091600276 0.52 66.6666666666667 4.342909129 0.294561803518189 0.0165556061421299 103.2227488 2.542380833 3.2779438395 NA
"40" 66 1 4 "M" 0 0 "410M" 17.0855006878803 0.157610528396842 0.142761794920645 52.6623750572879 0.689047619047619 49.7557606211452 5.6537005733 0.210935616560353 0.0182971456452793 201.2695313 2.2898940398 3.2859796652 -0.328871563
"41" 67 1 1 "S" 0 0 "Hp" 19.5112854086667 0 0 13.6612319926315 0.5 86.6666666666667 4.5748227736 0.0844068082440871 0.0158451891308745 377.1618625 3.315868486 4.8942224674 -0.50448594
"42" 68 1 4 "S" 0 0 "41S" 19.2020553673249 0.07996130724983 0.134892686016357 41.823911745013 0.734126942206426 79.1511520876426 5.9095042338 0.0742914162968739 0.0130969493691104 113.0587484 2.356466842 4.2143771352 -0.0821913420000002
"43" 69 1 8 "F" 1 1 "89F" 23.1518378152077 0.110128324792722 0.146943016205042 39.890530137281 0.582712359550562 77.8620900076278 6.4857163828 0.155902560282097 0.0138820029747149 141.6587528 2.5913571078 3.7103543042 -0.132
"44" 70 1 8 "M" 0 0 "82M" 19.4869528476961 0.101454882544231 0.194929456603469 28.728484982425 1.02967741935484 52.8221304094497 6.6544741857 0.122087157377951 0.0123446850763492 218.2820097 3.1528513972 4.8481118844 NA
"45" 71 1 1 "S" 0 1 "Fr" 12.8910008766667 0 0 24.8414629282356 0.24 68.3333333333333 5.1228842666 0.143210646698615 0.00822053452157423 587.4879071 3.628672639 4.231276743 -0.187640263
"46" 74 1 4 "F" 0 1 "42F" 22.7207855764717 0.0918730761387163 0.299646080712074 16.3043310706077 0.404173913043478 85.0247035573123 7.3994534311 0.109718428222363 0.0149165961475022 391.1274824 1.8471006904 3.1686243284 -0.342407101666667
"47" 75 1 4 "M" 1 0 "48M" 18.9047343964356 0.20747995020435 0.147992714066613 40.194834664949 0.679026629935721 47.7296440932805 4.1266029495 0.116413747161253 0.0166234588668342 477.3136247 2.1839352494 2.2351531046 -0.630607155
"48" 78 1 1 "F" 1 0 "Ga" 25.7863215126667 0 0 74.4113921905872 0.74 100 5.0784949354 0.0646434895685499 0.0150126169866164 274.3057772 3.1556127998 3.6502388404 -0.187688292
"49" 79 1 1 "S" 1 1 "Sp" 19.5922992346667 0 0 43.9409125698998 1.96 20 5.847291080625 0.143597082146242 0.0314940386284025 322.7818546 2.4959919692 3.662903153 0.302663081
"50" 8 1 1 "S" 1 0 "Ao" 23.3269845814771 0 0 6.33926974083264 0.24 52.3333333333333 4.6287249954 0.075881222513196 0.0525005048125463 113.5324015 3.02149964625 3.4546765956 -0.444567126
