Plot_Nr	CS_SLA	CS_LDMC	MPD_2_ab	MPD_2_pre	MPD_SLA_ab	MPD_SLA_pre	Block	SD	FC	Ni	Fz	Comb
222	17.47578364	229.2582162	0.173518978	0.175997157	0.125470893	0.132364037	3	8	M	1	1	87M
223	22.77374478	214.774632	0.211980048	0.192160285	0.220110324	0.153801524	3	4	S	1	1	44S
224	16.52894293	349.210548	0	0	0	0	3	1	S	1	0	Be
225	18.10744312	217.3325954	0.165441381	0.245510183	0.118978807	0.104402016	3	4	S	0	1	45S
226	17.48360204	231.0935416	0.124339714	0.185639293	0.16023445	0.167043411	3	4	M	0	0	47M
227	18.38218597	243.6531196	0.173263192	0.181516222	0.118971728	0.113216946	3	8	S	1	0	810S
228	25.55521921	264.8122665	0.127274578	0.183817443	0.106411193	0.142391565	3	8	F	1	0	82F
229	16.32046453	232.6126405	0	0	0	0	3	1	S	1	1	Am
230	18.36369932	226.2673496	0.141282321	0.186874219	0.104686903	0.115535574	3	8	S	0	1	87S
231	22.39873291	230.0613091	0.231020212	0.278127647	0.186387863	0.254700973	3	8	M	1	0	83M
232	36.2499978	339.5818959	0	0	0	0	3	1	F	1	0	Pt
233	20.12073418	247.2069421	0.184300208	0.199475913	0.145380717	0.152341083	3	20	M	1	1	20sp
234	25.1573414	200.9517042	0	0	0	0	3	1	S	1	1	Cj
235	26.6641115	219.4900152	0.22875021	0.213207026	0.1058246	0.117340638	3	4	F	0	0	41F
236	17.33473782	235.8660012	0.208586553	0.219100437	0.134433545	0.149667788	3	8	M	0	1	88M
237	25.12723796	289.3287649	0.084670782	0.12715226	0.117346244	0.192830868	3	4	F	1	1	42F
238	22.84327701	286.9319674	0.102514936	0.199102738	0.109483913	0.15628993	3	4	M	1	0	43M
239	22.30321086	273.5311168	0.123860049	0.140694599	0.081042927	0.070063771	3	4	F	1	0	44F
240	20.21198565	243.5544263	0.180370337	0.169242009	0.150396235	0.137457419	3	8	M	1	0	86M
241	23.74199836	264.4168746	0.141380895	0.191701801	0.13713893	0.156237901	3	8	M	1	0	810M
242	25.36239137	294.7046531	0	0	0	0	3	1	S	0	0	Ao
243	22.7384208	249.9958571	0.233233612	0.253002593	0.144473805	0.201001374	3	8	F	0	0	89F
