Plot_Nr	CS_SLA	CS_LDMC	MPD_2_ab	MPD_2_pre	MPD_SLA_ab	MPD_SLA_pre	Block	SD	FC	Ni	Fz	Comb
105	14.85925182	224.2573606	0.171256538	0.208207029	0.173978672	0.16682513	2	8	M	0	1	84M
106	22.38860668	254.3623798	0.191213619	0.194126678	0.107159876	0.164712913	2	4	F	1	1	49F
107	20.84581102	234.2363463	0.201414999	0.206744466	0.136073811	0.161687864	2	8	M	1	1	83M
108	20.1727746	215.2755598	0.086838664	0.108409498	0.058969464	0.057892695	2	4	M	0	1	41M
109	16.93384733	232.6973013	0.174827074	0.17638546	0.093989503	0.087600285	2	4	S	0	1	48S
110	20.05194464	215.4056185	0.15526339	0.301698803	0.158019942	0.293879976	2	8	M	0	1	82M
111	21.02727132	287.3669033	0.195712118	0.268495471	0.203981196	0.22279465	2	4	M	1	1	43M
112	13.91722848	225.6880416	0.144225192	0.212224311	0.111790724	0.149310124	2	4	S	0	1	46S
113	20.0688027	201.9455363	0	0	0	0	2	1	F	1	1	Cb
114	39.49725648	333.4592384	0	0	0	0	2	1	F	0	0	Pt
115	21.35888478	193.7137633	0	0	0	0	2	1	F	1	1	To
116	23.85158583	212.7624323	0.160109652	0.180074989	0.111647668	0.122981167	2	4	F	1	0	410F
117	19.05072249	233.6446042	0.160929379	0.192051053	0.146150674	0.140194228	2	20	M	0	0	20sp
118	17.80943959	237.5687855	0.15571479	0.179870471	0.126817135	0.121001292	2	8	S	0	0	86S
119	19.11481592	238.1207971	0	0	0	0	2	1	F	0	0	As
120	17.32309628	235.7821497	0.196033203	0.216430312	0.121506005	0.12594155	2	8	S	0	1	82S
121	15.12617109	329.5626768	0	0	0	0	2	1	S	0	1	Hp
122	18.13537118	223.2274719	0.180193421	0.183565738	0.123269061	0.126235171	2	8	M	0	0	89M
123	20.22819762	256.3638028	0.207255035	0.186840775	0.089588359	0.108182617	2	8	M	0	0	85M
124	23.18719976	204.9123863	0.217213965	0.251565254	0.208838053	0.150092514	2	4	S	1	1	45S
125	19.14442051	236.5874417	0.145995253	0.186275097	0.076807305	0.113976616	2	8	S	0	0	83S
126	20.70888425	212.6423192	0	0	0	0	2	1	S	0	1	Sp
127	17.97534783	227.7844941	0.169906729	0.234615506	0.127751183	0.144989853	2	4	S	0	1	41S
128	24.2280578	209.2735408	0.162197153	0.196068542	0.148930173	0.131403293	2	4	S	1	1	47S
129	23.02035617	301.546978	0	0	0	0	2	1	F	0	0	Dg
130	27.08717238	278.0844736	0	0	0	0	2	1	F	1	0	Hl
131	22.74916943	228.7176229	0.151644423	0.249355685	0.111953188	0.199510488	2	8	F	1	0	810F
132	23.37586712	218.185717	0.14867168	0.270194188	0.10083753	0.208330263	2	8	F	1	0	85F
133	16.2794482	232.0912779	0.272784399	0.218493511	0.14700602	0.127316932	2	4	S	1	1	49S
134	13.174087	226.6919102	0	0	0	0	2	1	S	0	1	Am
135	23.55179824	227.9829628	0.236900629	0.27112477	0.17427547	0.222936597	2	8	F	0	0	87F
136	22.11845994	234.075992	0.178747513	0.183578813	0.085275126	0.115829039	2	8	F	0	0	83F
137	17.17021559	235.0058971	0.149566468	0.153707086	0.160185331	0.134945961	2	4	M	1	0	410M
138	18.08848938	238.4642526	0.321572532	0.333190265	0.207353406	0.229746058	2	4	M	0	0	48M
139	22.45589395	222.2924523	0.208356458	0.219396998	0.163666723	0.169752044	2	4	F	1	1	48F
140	26.6686721	202.6410922	0.229591084	0.28101016	0.140176028	0.205247874	2	4	F	0	1	43F
141	17.57933629	235.2934704	0.19975867	0.225130564	0.118955131	0.123599256	2	8	S	0	1	85S
142	25.55252338	211.9177232	0.203031443	0.259108911	0.096974601	0.149963338	2	4	F	1	0	46F
143	17.3090178	212.3113488	0.168669319	0.156711973	0.129196331	0.096028096	2	4	M	1	0	42M
144	18.61866057	262.79114	0.18052187	0.164522912	0.078818619	0.090525324	2	4	M	1	1	49M
145	17.66365275	228.5448915	0.143885927	0.171950394	0.163123297	0.13859271	2	4	M	1	1	47M
146	24.99033317	186.5841934	0	0	0	0	2	1	F	1	1	Ga
147	20.93883542	224.9508262	0.192955318	0.234456169	0.131605538	0.185335325	2	8	M	1	1	81M
148	16.33740924	359.0201314	0	0	0	0	2	1	S	0	1	Be
149	18.26541067	250.3466874	0.165833707	0.164291832	0.071449558	0.080216202	2	4	S	1	1	42S
150	18.77579861	222.9069816	0.148035183	0.183498528	0.132401232	0.111303275	2	8	S	1	1	87S
151	17.01079534	235.2944924	0.129360732	0.150211002	0.101184859	0.114814229	2	4	M	1	1	46M
152	18.1898647	248.1105898	0.191415675	0.191415675	0.138108874	0.138108874	2	4	M	1	1	45M
153	17.77593388	234.4464247	0.149045839	0.171281862	0.107057958	0.102318986	2	8	S	1	1	89S
154	22.26572732	259.5211068	0.191042289	0.258292038	0.102334908	0.237995163	2	8	F	0	1	84F
155	14.54616187	244.9908446	0.163799772	0.179433446	0.098770727	0.115597448	2	8	S	0	0	88S
156	16.27592451	278.5049734	0	0	0	0	2	1	F	1	0	Hs
