"Am" "Ao" "As" "Be" "Cb" "Cj" "Dc" "Dg" "Fr" "Ga" "Hl" "Hp" "Hs" "Lp" "Pg" "Pm" "Pt" "Ra" "Sp" "To" "Block" "Plot_Nr"
"65" 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 65
"66" 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 66
"67" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 67
"68" 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 68
"69" 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 69
"70" 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 1 70
"71" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 71
"72" 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 0 0 0 1 72
"73" 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 73
"74" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 74
"75" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 75
"76" 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 76
"77" 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 77
"78" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 78
"79" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 79
"80" 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 1 80
"81" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 81
"82" 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 82
"83" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 83
"84" 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 1 84
"85" 1 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 2 85
"86" 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 2 86
"87" 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 2 87
"88" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 88
"89" 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 2 89
"90" 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 2 90
"91" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 91
"92" 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 92
"93" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 93
"94" 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 2 94
"95" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 95
"96" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 96
"97" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 97
"98" 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 2 98
"99" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 99
"100" 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 2 100
"101" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 2 101
"102" 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 102
"103" 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 2 103
"104" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 2 104
"105" 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 2 105
"106" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 2 106
"107" 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 2 107
"108" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 108
"109" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 2 109
"110" 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 2 110
"111" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 111
"112" 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 112
"113" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 113
"114" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 114
"115" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 115
